Region	Year	Year (ISO)	Opencast	Undergound	Total
South Island	2000.0	2000-01-01T00:00:00Z	1715102.0	563752.0	2278854.0
New Zealand	2000.0	2000-01-01T00:00:00Z	2701067.0	884568.0	3585635.0
Waikato	1999.0	1999-01-01T00:00:00Z	1081822.0	347432.0	1429254.0
North Island	1999.0	1999-01-01T00:00:00Z	1081822.0	347432.0	1429254.0
West Coast	1999.0	1999-01-01T00:00:00Z	1241821.0	443054.0	1684875.0
Canterbury	1999.0	1999-01-01T00:00:00Z	902.0	0.0	902.0
Otago	1999.0	1999-01-01T00:00:00Z	44920.0	0.0	44920.0
Southland	1999.0	1999-01-01T00:00:00Z	215207.0	130572.0	345779.0
South Island	1999.0	1999-01-01T00:00:00Z	1502850.0	573626.0	2076476.0
New Zealand	1999.0	1999-01-01T00:00:00Z	2584672.0	921058.0	3505730.0
Waikato	1998.0	1998-01-01T00:00:00Z	1117570.0	331080.0	1448650.0
North Island	1998.0	1998-01-01T00:00:00Z	1117570.0	331080.0	1448650.0
West Coast	1998.0	1998-01-01T00:00:00Z	1006250.0	437485.0	1443735.0
Canterbury	1998.0	1998-01-01T00:00:00Z	1440.0	0.0	1440.0
Otago	1998.0	1998-01-01T00:00:00Z	49530.0	0.0	49530.0
Southland	1998.0	1998-01-01T00:00:00Z	214725.0	145800.0	360525.0
South Island	1998.0	1998-01-01T00:00:00Z	1271945.0	583285.0	1855230.0
New Zealand	1998.0	1998-01-01T00:00:00Z	2389515.0	914365.0	3303880.0
